Tournament,Date,Prize,P#,Location,Winner,Runner-up
Don't Park on the Grass Don't Park on the Grass 2024,"Nov 16 - 17, 2024","$8,910",891,United States Seattle,TBD,TBD
Let's Make Moves Luminosity Makes Moves Miami 2024,"Nov 1 - 3, 2024","$1,680",168,United States Miami,United States MarthZain,United States FoxLinkAklo
Wavelength 2024,"Oct 5 - 6, 2024","$4,960",330,United States Westford,United States MarthZain,United States FoxLinkAklo
Riptide Riptide 2024,"Sep 6 - 8, 2024","$9,015",601,United States Sandusky,United States MarthZain,United States FoxCody Schwab
Eggdog Invitational,"Aug 29 - Sep 1, 2024","$12,470",20,Canada Vancouver,United States FoxCody Schwab,Japan YoshiaMSa
Super Smash Con Supernova 2024,"Aug 8 - 11, 2024","$9,050",905,United States Chantilly,United States FalcoFoxMang0,United States FoxCody Schwab
Tipped Off Tipped Off 15,"Jun 15 - 16, 2024","$7,695",513,United States Marietta,United States FalcoFoxMang0,United States FoxCody Schwab
Get On My Level Get On My Level X,"May 17 - 19, 2024","$5,656",770,Canada Toronto,United States MarthZain,United States SheikJmook
Pat's House Pat's House 4,"Apr 27 - 28, 2024","$4,605",307,United States La Jolla,United States MarthZain,United States FalcoMang0
Battle of BC Battle of BC 6,"Mar 29 - 31, 2024","$4,408",398,Canada Vancouver,United States FoxCody Schwab,Japan YoshiaMSa
Collision Collision 2024,"Mar 15 - 17, 2024","$7,410",494,United States Parsippany,United States MarthZain,United States JigglypuffHungrybox
GENESIS GENESIS X,"Feb 16 - 18, 2024","$23,160","1,544",United States San Jose,United States FoxCody Schwab,Japan YoshiaMSa
The Big House The Big House 11,"Oct 20 - 22, 2023","$10,110","1,011",United States Detroit,United States FoxCody Schwab,United States SheikFoxPlup
Riptide Riptide 2023,"Sep 8 - 10, 2023","$4,770",477,United States Sandusky,United States SheikPlup,United States Captain FalconWizzrobe
Shine Shine 2023,"Aug 25 - 27, 2023","$10,245",683,United States Worcester,United States FoxCody Schwab,United States MarthZain
